,Unnamed: 0,CODE,NAME,X,Y,orgNm,weight,법정동명
169,196,46860,함평군,126.521,35.105,전라남도 함평군,940,전라남도 함평군
170,197,46870,영광군,126.21,35.1855,전라남도 영광군,1206,전라남도 영광군
171,198,46880,장성군,126.755,35.339,전라남도 장성군,1400,전라남도 장성군
172,199,46890,완도군,126.9235,33.9795,전라남도 완도군,699,전라남도 완도군
173,200,46900,진도군,125.944,34.1455,전라남도 진도군,264,전라남도 진도군
174,201,46910,신안군,126.216,35.0625,전라남도 신안군,693,전라남도 신안군
175,204,47130,경주시,129.24450000000002,35.8595,경상북도 경주시,5451,경상북도 경주시
176,205,47150,김천시,128.088,36.0435,경상북도 김천시,2030,경상북도 김천시
177,206,47170,안동시,128.7145,36.5595,경상북도 안동시,1819,경상북도 안동시
178,207,47190,구미시,128.3485,36.2115,경상북도 구미시,3838,경상북도 구미시
179,208,47210,영주시,128.585,36.8805,경상북도 영주시,2552,경상북도 영주시
180,209,47230,영천시,128.9225,36.0075,경상북도 영천시,1721,경상북도 영천시
181,210,47250,상주시,128.06799999999998,36.446999999999996,경상북도 상주시,3253,경상북도 상주시
182,211,47280,문경시,128.127,36.6925,경상북도 문경시,93,경상북도 문경시
183,212,47290,경산시,128.8265,35.8475,경상북도 경산시,3342,경상북도 경산시
184,213,47720,군위군,128.655,36.167,경상북도 군위군,501,경상북도 군위군
185,214,47730,의성군,128.59199999999998,36.3615,경상북도 의성군,849,경상북도 의성군
186,215,47750,청송군,129.05100000000002,36.378,경상북도 청송군,412,경상북도 청송군
187,216,47760,영양군,129.149,36.686,경상북도 영양군,348,경상북도 영양군
188,217,47770,영덕군,129.3005,36.4705,경상북도 영덕군,1170,경상북도 영덕군
189,218,47820,청도군,128.78699999999998,35.7065,경상북도 청도군,1660,경상북도 청도군
190,219,47830,고령군,128.3215,35.7315,경상북도 고령군,1051,경상북도 고령군
191,220,47840,성주군,128.22299999999998,35.916,경상북도 성주군,1858,경상북도 성주군
192,221,47850,칠곡군,128.46200000000002,36.006,경상북도 칠곡군,1978,경상북도 칠곡군
193,222,47900,예천군,128.43599999999998,36.6515,경상북도 예천군,1127,경상북도 예천군
194,223,47920,봉화군,128.9125,36.9235,경상북도 봉화군,165,경상북도 봉화군
195,224,47930,울진군,129.2775,36.895,경상북도 울진군,2243,경상북도 울진군
196,225,47940,울릉군,130.938,37.53100000000001,경상북도 울릉군,143,경상북도 울릉군
197,226,48121,창원시 의창구,128.6655,35.232,경상남도 창원시 의창구,10806,경상남도 창원시 의창구
198,229,48127,창원시 마산회원구,128.5505,35.22700000000001,경상남도 창원시 마산회원구,5228,경상남도 창원시 마산회원구
199,230,48129,창원시 진해구,128.7655,35.064,경상남도 창원시 진해구,4799,경상남도 창원시 진해구
200,231,48170,진주시,128.128,35.20050000000001,경상남도 진주시,2621,경상남도 진주시
201,232,48220,통영시,128.3845,34.9045,경상남도 통영시,4467,경상남도 통영시
202,233,48240,사천시,128.0315,35.039,경상남도 사천시,4123,경상남도 사천시
203,234,48250,김해시,128.8535,35.2725,경상남도 김해시,14230,경상남도 김해시
204,235,48270,밀양시,128.7975,35.49299999999999,경상남도 밀양시,10520,경상남도 밀양시
205,236,48310,거제시,128.71300000000002,34.786,경상남도 거제시,8189,경상남도 거제시
206,237,48330,양산시,129.04649999999998,35.403,경상남도 양산시,3977,경상남도 양산시
207,238,48720,의령군,128.2615,35.3855,경상남도 의령군,661,경상남도 의령군
208,239,48730,함안군,128.433,35.283,경상남도 함안군,3230,경상남도 함안군
209,240,48740,창녕군,128.5015,35.526,경상남도 창녕군,3808,경상남도 창녕군
210,241,48820,고성군,128.2225,34.9285,경상남도 고성군,1928,경상남도 고성군
211,242,48840,남해군,128.047,34.6865,경상남도 남해군,1247,경상남도 남해군
212,243,48850,하동군,127.8315,34.936,경상남도 하동군,1436,경상남도 하동군
213,244,48860,산청군,127.9015,35.3975,경상남도 산청군,1224,경상남도 산청군
214,245,48870,함양군,127.7315,35.5435,경상남도 함양군,972,경상남도 함양군
215,246,48880,거창군,127.887,35.711999999999996,경상남도 거창군,2222,경상남도 거창군
216,247,48890,합천군,128.167,35.6,경상남도 합천군,1492,경상남도 합천군
217,248,50110,제주시,126.227,33.408500000000004,제주특별자치도 제주시,36137,제주특별자치도 제주시
